S..No.,State..UT,state_code,Defective.brakes,Defective.Steering,Punctured.burst.Tyres,Bald.Tyres,Worn.out.Tyres,Other.serious.mechanical.defect,normal,mist_fog,cloudy,rain,flooding,hail_sleet,snow,dust_storm,Surfaced.Roads,Metalled.Roads,Pucca.road..Normal.Road.,Kutcha.Roads,Dry.road,Wet.road,Good.surface,Loose.Surface,Road.under.repair.construction,Corrugated.Wavy.road,Slippery.surface,Snowy,Muddy,Oily,Straight.Road,Slight.Curve,Flat.Road,Gentle.Incline,Hump,Dip,Pot.Holes,Speed.Breaker,Steep.Incline,Sharp.Curve,Earthern.Shoulder.Edge.Drop,Others.road.conditions
21,Punjab,20,3,3,4,4,5,3,5,6,5,4,5,4,3,5,5,4,5,3,4,4,5,4,5,5,5,5,5,5,4,4,4,4,5,5,5,5,4,4,4,4
22,Rajasthan,21,6,6,6,4,5,7,7,5,4,4,4,5,3,4,7,4,7,4,7,4,7,5,4,5,3,4,3,4,7,4,7,4,3,3,6,5,4,4,4,4
23,Sikkim,22,4,4,3,3,4,3,1,3,2,2,4,4,4,3,1,3,1,3,2,3,1,3,3,3,3,4,4,4,1,2,2,3,3,5,3,1,3,3,6,3
24,Tamil Nadu,23,7,7,7,6,7,6,7,7,7,7,6,5,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,4,7,7,7,6,7,7,7,7,7,7,6,6
25,Telangana,24,7,7,6,7,6,7,6,4,5,5,7,7,7,5,6,6,6,7,6,5,5,4,6,5,4,6,5,4,6,6,6,7,5,5,5,5,5,6,4,7
26,Tripura,26,3,3,2,3,4,2,3,3,3,2,4,3,3,3,3,3,3,2,3,3,3,2,3,3,3,4,3,4,3,3,3,4,3,3,3,3,2,2,4,3
27,Uttarakhand,27,4,4,4,5,4,4,3,4,2,3,4,5,5,4,3,4,3,3,3,3,3,4,4,4,4,4,3,4,3,3,3,3,5,4,4,4,3,3,4,2
28,Uttar Pradesh,28,7,7,7,7,5,5,6,7,7,7,7,7,7,7,6,7,6,7,6,7,6,7,7,7,7,7,7,7,6,7,6,7,7,7,7,7,7,7,7,7
29,West Bengal,29,6,6,5,7,6,7,6,7,5,7,6,6,6,6,4,6,4,6,5,6,5,6,7,6,7,6,6,6,5,5,6,5,5,6,6,6,6,6,7,7
30,A & N Islands,30,1,2,2,3,4,1,2,1,2,2,4,3,3,3,2,2,2,1,2,2,2,2,3,3,3,4,3,4,2,2,2,2,3,2,3,2,3,2,4,1
31,Chandigarh,31,1,2,2,3,4,1,3,1,2,1,4,3,3,3,3,2,3,1,2,1,3,2,3,3,3,4,3,4,2,2,2,2,3,2,3,2,1,1,4,1
32,D & N Haveli,32,2,2,2,3,4,3,1,2,2,2,4,3,3,3,2,2,1,2,1,2,2,2,3,3,3,4,3,4,2,2,2,2,3,2,3,2,1,1,4,2
33,Daman & Diu,33,1,2,2,3,4,1,1,2,2,1,4,3,3,3,1,2,1,1,1,2,1,2,3,3,3,4,3,4,1,2,1,2,3,2,3,2,1,1,4,2
34,Delhi,34,3,3,3,3,5,5,4,4,4,4,4,7,3,5,1,2,5,3,1,1,1,2,3,3,3,4,3,4,1,2,1,2,3,2,3,2,2,2,4,4
35,Lakshadweep,35,1,2,2,3,4,1,1,1,2,1,4,3,3,3,1,2,1,1,1,1,1,2,3,3,3,4,3,4,1,2,1,2,3,2,3,1,1,1,4,1
36,Puducherry,36,2,2,2,3,4,2,3,3,3,4,4,4,6,3,4,2,3,4,3,2,3,3,3,3,3,5,3,4,3,3,3,3,3,3,3,4,2,3,4,3
